artist_id,common_name,wiki_url,language_count
419,Michael Ball,https://en.wikipedia.org/wiki/Michael_Ball,19.0
420,Club House,,
421,Sheryl Crow,,
423,Celine Dion,https://en.wikipedia.org/wiki/Celine_Dion,138.0
424,Jewel,https://en.wikipedia.org/wiki/Jewel_(singer),37.0
427,Luis Miguel,,
428,Stanley Turrentine,,
430,Wayne Marshall,,
432,Do,,
433,Belle Perez,,
437,Prince,,
438,Bart Peeters,https://en.wikipedia.org/wiki/Bart_Peeters,4.0
440,Erasure,https://en.wikipedia.org/wiki/Erasure_(duo),54.0
441,The Korgis,,
444,The Three Degrees,,
445,The Ronettes,,
446,The Righteous Brothers,,
447,Cliff Eberhardt,,
449,UB40,https://en.wikipedia.org/wiki/UB40,41.0
451,Chrissie Hynde,https://en.wikipedia.org/wiki/Chrissie_Hynde,29.0
453,Mungo Jerry,,
454,Fatal Mambo,,
455,The Kingsmen,,
456,A Tribe Called Quest,https://en.wikipedia.org/wiki/A_Tribe_Called_Quest,33.0
457,Duran Duran,https://en.wikipedia.org/wiki/Duran_Duran,89.0
458,The Temptations,,
459,Edwin Starr,,
461,Frankie Goes To Hollywood,https://en.wikipedia.org/wiki/Frankie_Goes_to_Hollywood,30.0
461,Frankie Goes To Hollywood,https://en.wikipedia.org/wiki/Mark_O'Toole_(musician),3.0
462,Joan Osborne,https://en.wikipedia.org/wiki/Joan_Osborne,29.0
463,Het Nieuwe Wereldorkest,,
464,D.O.A.,,
465,Will Tura,https://en.wikipedia.org/wiki/Will_Tura,7.0
466,Adamo,https://en.wikipedia.org/wiki/Salvatore_Adamo,38.0
467,Arno,https://en.wikipedia.org/wiki/Arno_(singer),21.0
468,Urge Overkill,,
469,Raven Maize,,
470,Massive Attack,https://en.wikipedia.org/wiki/Massive_Attack,44.0
471,Lou Donaldson,,
472,Lee Dorsey,,
473,US3,,
474,Labi Siffre,https://en.wikipedia.org/wiki/Labi_Siffre,10.0
476,Marlena Shaw,,
477,St. Germain,https://en.wikipedia.org/wiki/St_Germain_(musician),13.0
478,Jeremy Steig,,
479,Beastie Boys,https://en.wikipedia.org/wiki/Beastie_Boys,53.0
481,The Chemical Brothers,,
482,Kraftwerk,https://en.wikipedia.org/wiki/Kraftwerk,61.0
