"artist_id","common_name","wiki_url","genres"
"377","Status Quo","https://en.wikipedia.org/wiki/Status_Quo_(band)","Rock|boogie rock|hard rock|psychedelia|(early)"
"378","Great White","https://en.wikipedia.org/wiki/Great_White","Hard rock|glam metal|[|1|]|[|2|]"
"380","The Kinks","https://en.wikipedia.org/wiki/The_Kinks","Rock|pop"
"382","Mott the Hoople","https://en.wikipedia.org/wiki/Mott_the_Hoople","Glam rock|hard rock"
"384","Bruce Dickinson","https://en.wikipedia.org/wiki/Bruce_Dickinson","Heavy metal"
"387","Lenny Kravitz","https://en.wikipedia.org/wiki/Lenny_Kravitz","Rock|funk|soul"
"390","The Stranglers","https://en.wikipedia.org/wiki/The_Stranglers","Punk rock|[|1|]|pub rock|[|2|]|new wave|[|2|]"
"391","Hooverphonic","https://en.wikipedia.org/wiki/Hooverphonic","Trip hop|electronica|indie pop|alternative|dream pop"
"393","Laibach","https://en.wikipedia.org/wiki/Laibach","Industrial|avant-garde|experimental|martial industrial|neoclassical dark wave|electronic|electro-industrial"
"394","10cc","https://en.wikipedia.org/wiki/10cc","Art rock|[|1|]|art pop|[|2|]|progressive pop|[|3|]|soft rock|[|4|]|pop rock|[|5|]"
"400","Cake","https://en.wikipedia.org/wiki/Cake_(band)","Alternative rock|country|indie rock|funk rock"
"402","Carl Perkins","https://en.wikipedia.org/wiki/Carl_Perkins","Rockabilly|rock and roll|country"
"405","Bread","https://en.wikipedia.org/wiki/Bread_(band)","Soft rock|[|1|]"
"406","Otis Rush","https://en.wikipedia.org/wiki/Otis_Rush","Blues|Chicago blues|R&B"
"412","Liquido","https://en.wikipedia.org/wiki/Liquido","Rock"
"416","Eric Carmen","https://en.wikipedia.org/wiki/Eric_Carmen","Pop rock|power pop|soft rock"
"418","Babes in Toyland","https://en.wikipedia.org/wiki/Babes_in_Toyland_(band)","Alternative rock|[|1|]|punk rock|[|2|]|grunge|[|3|]|heavy metal|[|4|]"
"419","Michael Ball","https://en.wikipedia.org/wiki/Michael_Ball","Pop|soft rock|musical theatre|easy listening"
"423","Celine Dion","https://en.wikipedia.org/wiki/Celine_Dion","Pop|chanson|soft rock"
"424","Jewel","https://en.wikipedia.org/wiki/Jewel_(singer)","Folk|pop|pop rock|country"
"438","Bart Peeters","https://en.wikipedia.org/wiki/Bart_Peeters",""
"440","Erasure","https://en.wikipedia.org/wiki/Erasure_(duo)","Synth-pop|dance-pop|hi-NRG|disco"
"449","UB40","https://en.wikipedia.org/wiki/UB40","Reggae|dub"
"451","Chrissie Hynde","https://en.wikipedia.org/wiki/Chrissie_Hynde","Rock|new wave|punk rock"
"456","A Tribe Called Quest","https://en.wikipedia.org/wiki/A_Tribe_Called_Quest","East Coast hip-hop|jazz rap|alternative hip-hop|progressive rap|[|1|]"
